Z01545600                       USGS 
H01545600       4123220774128004242035SW0205020346.2           780.41           
N01545600       Young Womans Creek near Renovo, PA
Y01545600       
301545600       19650210    369                                        
301545600       19660213    534                3.122                   
301545600       19670315    555                3.15                    
301545600       19680323    520                3.10                    
301545600       19690423    553                2.98                    
301545600       19700410    844                3.33                    
301545600       19701113    722                3.21                    
301545600       19720623   5370                7.98                    
301545600       19730202    924                3.72                    
301545600       19740404    861                3.63                    
301545600       19750926   3050                6.16                    
301545600       19760217    672                3.48                    
301545600       19770403    866                3.76                    
301545600       19780514    888                3.84                    
301545600       19790306   1540                4.75                    
301545600       19791126   1920                5.10                    
301545600       19810223   1320                4.41                    
301545600       19820606   1110                4.18                    
301545600       19830322    415                3.08                    
301545600       19840214   3100                6.29                    
301545600       19850401    346                2.95                    
301545600       19860315    853                3.91                    
301545600       19861127    629                3.51                    
301545600       19880519   1120                4.24                    
301545600       19890621    772                3.67                    
301545600       19900712    316                2.82                    
301545600       19901013    544                3.28                    
301545600       19920715    890                3.85                    
301545600       19930401   1420                4.55                    
301545600       19940818   3890                6.92                    
301545600       19950120    996                4.02                    
301545600       19960119   2340                5.55                    
301545600       19961108   2320                5.53                    
301545600       19980108    900                3.87                    
301545600       19990124    757                3.65                    
301545600       20000404    562                3.33                    
301545600       20010409    325                2.87                    
301545600       20020514    604                3.49                    
301545600       20030321    829                3.88                    
301545600       20040918   3110                6.49                    
301545600       20050403    933                4.03                    
301545600       20051130    939                4.04                    
301545600       20070315    759                3.74                    
301545600       20080207    5272               3.32                    
301545600       20090309    765                3.75                    
301545600       20100125    903                3.98                    
301545600       20101201   2120                5.58                    
301545600       20111224    330                2.82                    
301545600       20130131    765                3.67                    
301545600       20140516   1950                5.67                    
301545600       20150410    734                3.90                    
301545600       20151111    411                3.15                    
301545600       20170506    862                4.15                    
301545600       20180911   1300                4.90                    
301545600       20190621    764                3.96                    
