Z02314500                       USGS 
H02314500       3040500823338001313065SW031102011130   1130    91.0             
N02314500       SUWANNEE RIVER AT US 441, AT FARGO, GA
Y02314500       
302314500       19280502   5210               14.4013                   
302314500       19281001  13800               19.5013                   
302314500       19291001  11900               19.6013                   
302314500       19301003   2460               11.4013                   
302314500       19371008   4410               12.7013                   
302314500       19390829   2490               11.6013                   
302314500       19400221   2060               11.0013                   
302314500       19410923    810                7.5013                   
302314500       19420111   7960               15.9013                   
302314500       19421001    495                5.6013                   
302314500       19440814   4280               12.8013                   
302314500       19450822   9690               17.3013                   
302314500       19460808   5920               14.2013                   
302314500       19470930   6160               14.4013                   
302314500       19471029  10800               19.6013                   
302314500       19490910   5900               14.3013                   
302314500       19500914   15502                                       
302314500       19501026   3260               11.9013                   
302314500       19511110   4300               12.8013                   
302314500       19530902   3280               11.801                   
302314500       19531005   5640               14.601                   
302314500       19550917   1710               10.701                   
302314500       19560510    960                7.901                   
302314500       19570614   2550               12.201                   
302314500       19580424   4400               13.201                   
302314500       19590322   8680               17.201                   
302314500       19600801   4190               12.701                   
302314500       19610423   7100               15.501                   
302314500       19620405   4520               14.601                   
302314500       19630305   3830               12.401                   
302314500       19640917   9940               18.601                   
302314500       19650307   5800               14.401                   
302314500       19660316   7240               15.451                   
302314500       19670217   3540               12.491                   
302314500       19680910    531                5.511                   
302314500       19690529   2630               11.401                   
302314500       19700818   5870               15.421                   
302314500       19710905   4840               14.551                   
302314500       19720126   5970               14.361                   
302314500       19730411  13200               20.8012                   
302314500       19740919   2480               11.201                   
302314500       19750421   6650               15.101                   
302314500       19760601   3190               12.221                   
302314500       19761217   7180               15.431                   
302314500       19780317   3200               12.121                   
302314500       19790515   2450               11.221                   
302314500       19800410   3160               12.021                   
302314500       19810308   1700               10.031                   
302314500       19820413   1140                8.331                   
302314500       19830322   5200               13.841                   
302314500       19840406  10500               18.02                    
302314500       19850911   2870               11.47                    
302314500       19860220   6310               15.2512                   
302314500       19870303   6050               14.73                    
302314500       19880227   4190               13.21                    
302314500       19881129    497                5.11                    
302314500       19900228   2390               11.16                    
302314500       19910311   7180               15.35                    
302314500       19920825   2630               11.36                    
302314500       19930119   4000               12.91                    
302314500       19940208   5170               13.96                    
302314500       19941020   3650               12.67                    
302314500       19960402   2720               11.57                    
302314500       19970809   2960               11.95                    
302314500       19980226  10000               17.68                    
302314500       19981004   22502                                       
302314500       20000928    257                3.49                    
302314500       20010703    922                7.24                    
302314500       20020310    875                7.03                    
302314500       20030320   6010               14.71                    
302314500       20040302   2050               10.58                    
302314500       20041003   9740               18.73                    
302314500       20060211   32002              12.41                    
302314500       20070814    499                5.29                    
302314500       20080313   3710               12.92                    
302314500       20090406   4170               13.85                    
302314500       20100215   3040               11.92                    
302314500       20110406    139                2.43                    
302314500       20120628   3810               13.2512                   
302314500       20130705   4090               12.7112                   
302314500       20140423   6760               16.2512                   
302314500       20150207   3060               11.801                   
302314500       20160211    988                8.52                    
302314500       20170919   4670               13.57                    
302314500       20180808   2580               11.28                    
302314500       20181217   8770               17.28                    
